user_id,username,leftID,leftPV,righID,rightPV,award_pv,award_pv_left,award_pv_right
4588,Liftedup,4591,0,4592,0,0,0,0
4591,ONTOP7,4600,0,4607,0,0,0,0
4592,Awesome,4595,0,4597,0,0,0,0
4594,Wasilaig,4631,0,4642,0,0,0,0
4595,Greaterheights,4596,0,4801,0,0,0,0
4597,GraceAbundance,4598,3271,4800,90,90,45,45
4611,YoweGPO,4622,0,4659,0,0,0,0
4625,Ecomog,4885,0,4902,0,0,0,0
4626,Favourvic,4627,0,4764,0,0,0,0
4632,FAVOUR100,4637,0,4638,0,0,0,0
4636,Lucylight,4640,0,4969,0,0,0,0
4637,TOTALFAVOUR,4727,48,4975,2730,48,24,24
4653,Chilostar,4807,0,4921,0,0,0,0
4663,Zinariyah,4664,0,4665,0,0,0,0
4664,Zinariyah1,4712,0,4715,0,0,0,0
4665,Zinariyah2,4725,0,4728,0,0,0,0
4667,Ampepe,4681,0,4682,0,0,0,0
4681,Fatygaza,4683,0,4684,0,0,0,0
4682,Lamimi,4688,0,4689,0,0,0,0
4691,Hahabs,4731,0,4773,0,0,0,0
4693,Lizzy64,4694,0,4700,0,0,0,0
4694,Favourcash,4695,0,4868,0,0,0,0
4711,revrose,4719,0,4720,0,0,0,0
4712,Defavoured,4713,0,4714,0,0,0,0
4715,Hauwa01,4716,0,4899,0,0,0,0
4720,ntiedie,4722,0,4774,0,0,0,0
4721,Chucks,4730,0,4752,0,0,0,0
4723,Divinegift62,4724,0,4750,0,0,0,0
4725,Dekyos,4726,0,4732,0,0,0,0
4728,Ginnicelove,4733,0,4799,0,0,0,0
4750,Prosper4life,4751,0,4756,0,0,0,0
4752,FLOZZY_82,4768,0,4769,0,0,0,0
4753,STEMERON,4830,0,4831,0,0,0,0
4760,Lightvoice,4777,54,4848,304,54,27,27
4761,EMNET,4770,180,4783,90,90,45,45
4770,Unstoppable,4829,0,4991,0,0,0,0
4776,Smartnfit3,4850,0,4867,0,0,0,0
4777,Ogeblack,4778,0,4779,0,0,0,0
4783,Rehoboth,4789,0,4839,0,0,0,0
4809,Glosim,4898,0,5072,0,0,0,0
4822,Diadem,4997,0,5007,0,0,0,0
4828,Abidex,4870,0,4917,0,0,0,0
4835,Moredollars,4836,0,5027,0,0,0,0
4839,EBASSEY,4900,0,4904,0,0,0,0
4840,Mercyme1,5188,0,5189,0,0,0,0
4841,Mercyme3,4863,0,4864,0,0,0,0
4849,Tarefaith,4970,90,5032,90,90,45,45
4851,Successvin,4929,0,5194,0,0,0,0
4874,Elegant22,4940,0,5031,0,0,0,0
